project;plan
filter_format_audit;"This module is D9 ready 🏖"
reference_swiper;"The Module is Drupal 9 ready."
entity_edit_redirect;"fully compatible since v1.6"
print_route;"This module must be compatible with Drupal 9."
search_api_meilisearch;"Working with Drupal 9 since the initial release."
media_library_extend_youtube;"The 2.x branch is Drupal 9 compatible."
flashpoint;"<h2>2.0.x</h2> The Drupal 9 compatible version, 2.0.x, is now under development. The content entity structure will stay the same, but early alpha releases will begin with flashpoint_course, followed by flashpoint_community. Migration documentation will be added as modules are ported."
scripturefilter;"This module is compatible with Drupal 9 starting with release 2.0.0."
uc_pdf_invoice_mail;"Module fully compatible with Drupal 9."
matrix_api;"Matrix API is fully compatible with Drupal 9."
radius_login;"Currently no known issues with Drupal 9."
pf_email;"This project is ready for Drupal 9"
ggpushcast;"The module is ready for Drupal 9."
toolbar_responsive_search;"Officially supports D9 as of the <a href=""https://www.drupal.org/project/toolbar_responsive_search/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> release."
bestreply;"8.x-3.x branch is Drupal 9 compatible."
comment_anonymous_account_info;"Compatible with D8/D9"
xsl_formatter;"Fully compatible as of 8.x-1.0-alpha1"
behat_ui;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/behat_ui?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
request_cleanup;"Help port this project at [#3088975]"
remote_config_sync;"This module is Drupal 9 ready."
concentration_game;"This module should work with D9. Not tested though."
cycle_news_display;"New release 8.x-1.2 to support Drupal 9.X version"
simplenews_content_selection;[3097387]
hypothesis;"This module is ready for Drupal 9. (https://www.drupal.org/project/hypothesis/issues/3142878)"
landing_page_scheduler;"This module is already fully compatible with Drupal 9"
current_year;"This module is compatible with Drupal 9 with effect from version 1.0.1"
seaside_admin;"This is module is Drupal 9 ready!"
layout_builder_bgcolor;"Fully compatible as of 8.x-1.0-rc1."
popup;"[#3084134] [#3148456]"
skpr_key;"This module is compatible with Drupal 9."
hanging_conjunctions_filter;"This module supports Drupal 9."
vrssfa;"8.x-1.3+ is Drupal 9 compatible."
entity_logger;"This module is Drupal 9 compatible."
erl_restriction;"This module is ready for D9!"
media_twig_tools;"Media Twig Tools supports Drupal 9"
faker;"Release <code>8.x-2.0-alpha2</code> is D9 compatible!"
node_randomizer;"This module is D9 compatible 🚀"
commerce_omise;"The module is compatible with D9 since 1.0-beta2."
entity_reference_purger;"This module is Drupal 9 ready."
uber_publisher_search;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_search?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
token_environment;"This module is ready for Drupal 9"
thousandtok;"Compatible for D9!"
commerce_tax_wa;"8.x-2.2 is compatible with Drupal 9."
file_download_statistics;"it's compatible with Drupal 8 and 9"
bootstrap_pages;"This module currently has no known compatibility issues, and is aiming for a release together with Drupal 9."
timesup;"Times'up is already ready for Drupal9"
cloud;"<a href=""https://www.drupal.org/project/cloud/issues/3071859"" title=""Fix Drupal 9 code deprecation"">Issue #3071859: Drupal 9 code deprecation / readiness / compatibility</a>"
upload_image_changer;"Drupal 9 is supported!"
site_version;"Compatible with Drupal 9"
trigger_api;"The Trigger API module is Drupal 9 ready."
elements_theme;"Branch 2.0.x is compatible with D9"
image_gen;"Ready ;)"
cocoon_media;"This module was made ready to use with Drupal 9 on DrupalCon Amsterdam 2019! [#3075156]"
cmrf_core;"This module is ported to Drupal 9."
lucidworksfusion;"This module has been coded to be compliant with Drupal 9."
cleanimal;"1.0.0-beta2 is D9 ready!"
nextpath_bat_booking;"The module is ready for Drupal 9"
adsense_consent;"This module is compatible with Drupal 9 from version 1.0.0"
info_messages;"Info Messages 8.x-1.1+ supports Drupal 9. Enjoy."
mustache_templates;"The latest beta release is compatible with D9. Please report in the issue queue if you have any problems or if it works well for you."
athenapdf_api;"8.x-1.x-dev is Drupal 9 compatible."
uber_publisher_core;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_core?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
color_thief;"🎉This module was developed in Drupal 9 so should have no compatibility issues"
yaml_sandbox;"Drupal 9 compatible."
commerce_eurobank_redirect;"This module is Drupal 9 ready."
continuous_rss_scrolling;"New release 8.x-1.2 to support Drupal 9.X version"
drush_lock;"Drush Lock is compatible with Drupal 9."
uber_publisher_ads_system;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_ads_system?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
drush9_batch_processing;[#3083225]
simple_datalayer_trigger;"For Drupal 9 compatibility, use any 2.0.x version or above. Ex: <code>composer require drupal/simple_datalayer_trigger:^2.0</code>"
layout_builder_backgrounds;"Layout Builder Backgrounds is compatible with Drupal 9."
owntracks;"OwnTracks is compatible with Drupal 9."
webcomponents;"Works now"
anonymous_timezone;"Fully Drupal 9 compatible."
workflows_mbv;"<strong>Workflows Moderation Basic View</strong> supports Drupal 9."
minesweeper;"This project is now ready for Drupal 9!"
entity_clone_template;"8.x-1.+ is compatible with Drupal 9"
documentation_generator;"Works with Drupal 9."
broadstreet_ads;"Drupal 8 and 9 are supported with the v2 releases."
domain_fields_visualization;Processing...
search_365;"Ready for Drupal 9"
patternkit;"Drupal 8 and Drupal 9 versions will be kept in parity until the 1.0 release, after which Drupal 8 1.0 will be marked LTS and new development will happen in the Drupal 9 branch."
readonly_html_field;"This project is Drupal 9 compatible."
twig_backlink;"This module is Drupal 9 ready."
auto_recommended_tags;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/auto_recommended_tags?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
cache_entity_type;"Compatible with Drupal 9"
rcr;"1.0.0+ is Drupal 9 compatible."
userpoints_expire;"Ready for Drupal 9"
adnuntius;"The module is compatible with Drupal 9."
botbattler;"This module is ready for D9."
worldmap;ready
drush9_example;[#3083224]
colofilters;"D9 readiness issue [#3139919]  The issue is now committed, use the latest release tag."
video_embed_dacast;"Fully compatible as of 8.x-1.0."
entity_fallback_value;"This module fully supports Drupal 9"
instagram_formatter;"This module is ready for Drupal 9"
commerce_omnikassa;"This module is D9 compatible."
buttons_config;"This module is already fully compatible with Drupal 9."
view_mode_selector_field;"This module is fully compatible with Drupal 9."
commerce_paybox_payment;"Drupal 9 full supported"
views_rss_media;"The Drupal 8.x-1.x branch is Drupal 9 compatible."
monolog_elasticsearch_date_processor;"This module is compatible with Drupal 9"
og_message;"Fully compatible as of 8.x-1.1-rc1."
sku_prefix_promotion_condition;"This module is compatible with Drupal 9 from version 2.0.0"
classitup;"This module is fully compatible with Drupal 9."
bootstrap_block_italia;"The module is compatible with Drupal 9 thanks to the <a href=""https://www.drupal.org/project/bootstrap_block_italia/issues/3212617"">https://www.drupal.org/project/bootstrap_block_italia/issues/3212617</a>."
vbo_add_to_cart;"Work in progress for D9. it will be available very soon."
students;[#3082548]
address_md;"This module is Drupal 9 ready."
entity_inherit;"<p>This project is certified Drupal 9 ready.</p>"
uber_publisher_in_pictures;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_in_pictures?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
seaside_admin_toolbar;"This is module is Drupal 9 ready!"
entity_link_template_condition;"Compatible with Drupal 9"
cloudflare_image_style;"This is compatible with D9."
user_coins;"This module is Drupal 9 ready."
entity_collector;"8.x-1.0-alpha19+ is Drupal 9 compatible."
webtheme;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webtheme?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
whitelabel;"This module should be fully compatible with Drupal 9."
uber_publisher_video;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_video?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
commerce_nz;"This project is D9 Ready."
permalink_block;"Tested in Drupal 9 and confirmed to be fully functional."
bootstrap_govbr;"Theme is compatible with Drupal 9"
events_seats_field;"This module is developed with Drupal 8.8.1+"
uber_publisher_breaking_news;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_breaking_news?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
pubble_field;"Fully supported as of 8.x-1.0-beta2."
uber_publisher_author_profile;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_author_profile?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
songkick;"The module is Drupal 9 compatible"
hal_publications;"HAL Publications 2.0.0 supports Drupal 9."
oh;"A Drupal 9 release will be made available in the near future."
openweathermap;"The module is ready for Drupal 9."
hosted_solr;"Drupal 9 is fully supported."
trial_role;"This module has no known issues with Drupal 9"
domain_route_redirect;"This module should in principle work with D9 but it has not been tested yet."
vegas;"[#2923825] will make this module Drupal 9 ready."
freeagent;"This module is Drupal 9 compatible."
social_auth_bitbucket;"Drupal 9 compatible"
ndb;"Netlify Deploy Button 8.x-1.0 supports Drupal 9."
node_form_templates;"8.x-1.1 is compatible with Drupal 9."
behance_block;"This module is Drupal 9 ready."
archivesspace;"D9 support now available in 8.x-1.1-rc1."
back_2_top;"This project is currently being tested for Drupal 9 compatibility."
backfill_formatter;"Please use the issue queue to report issues."
dev_modules;"This project is ready for Drupal 9"
mailchimp_webform_handler;"D9 ready!"
migrate_parse_textile;"Supports Drupal 8 or 9"
s_r_c_html5_validation;"Select Radio Checkbox Field HTML 5 Validation is fully compatible with Drupal 9!"
ajax_screen_lock;"Use the 8.x-dev branch for now. A stable release is coming soon."
commerce_payment_vismapay;"This module is compatible with Drupal 9.0.0"
twig_n2w;"This module also works on Drupal9."
autoservices;"Compatible with Drupal 9"
yunke_help;"Drupal 9 is Supported"
export_action_for_default_content;"Works with D8 and D9."
template_generator;"The module is porting by Drupal 9."
composer_dependency_tree;"This project is Drupal 9 compatible!"
contextly;"Our aim is to maintain the 8.x branch without any deprecated code, so that it is usable with Drupal 9 without any issues."
aspect_ratio_validation;"Core compatibility: ^8.8 || ^9"
grouped_checkboxes;"Drupal 9 support out of the gate 🎠"
consistent_breadcrumbs;"D9 ready."
commerce_stripe_ideal;"Drupal 9 supported by default on release of D8 version"
inpagenav;"Developed and maintained to be used in both Drupal 8 and Drupal 9."
projects_stats;"This module is Drupal 9 ready."
timefield;"Use <a href=""https://www.drupal.org/project/timefield/releases/1.0.x-dev"" title=""Timefield D9"">1.0.x-dev</a> for Drupal 9."
fontawesome_route_icons;"Drupal 9 ready"
commerce_yandex_kassa;"Ready to be used"
inotherwords;"Avoiding deprecated functions, should be ready to go."
twofactor;"D9 ready"
commerce_recurring_metered;"Drupal 9 readiness issue: [#3128960]"
tmgmt_motaword;"Our module is compatible with Drupal 8.x and 9.x."
trending_topics;"1.x is Drupal 9 compatible."
tugboat;"This is released in 8.x-4.0-alpha1"
qwebirc;"This module is compatible with Drupal 9"
entity_ref_filtering_link;"Drupal 9 Compatible"
psv;"This module is Drupal 9 ready."
clear_field;"Clear Field Value version 8.x-1.1+ supports Drupal 9"
dhtml_menu;[3091317]
pagecss;"Will be ported to Drupal 9 by end of 2019."
git_info;"Version 2.x is Drupal 9 compatible"
overseer;"This module is Drupal 9 ready."
processing;"Postponed pending investigation of p5.js compatibility."
field_bundle;"This module is fully compatible with Drupal 9."
lb_default_blocks;"Drupal 9 support out of the gate 🎠"
szentirashu_formatter;"Module is ready for Drupal 9."
facets_link_field_processors;"This module is ready for Drupal 9."
der_extra;"This module is Drupal 9 compatible."
http_client_retry;"This module is Drupal 9 compatible."
deployment;"Upwards compatible with Drupal 9 starting with the 8.x-1.0.0 release."
notify_to_slack;"Send Notification to Slack 8.x-2.0 support Drupal 9."
vartheme_bs5;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_bs5?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
gmessentials;"No porting it is required, this module it is very simple."
notify_me;"Is here"
google_cloud_logging;"The dev version is compatible with drupal 9."
change_requests;"Requires Drupal core ^8 || ^9"
do_username;"The latest 8.x-1.x release is compatible with Drupal 9."
libravatar;"This project is ready for Drupal 9"
vardoc_theme;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vardoc_theme?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
exportable_controllers;"Developed with Drupal 9."
yunke_qrcode;"Support for Drupal 8 and Drupal 9"
disable_ui;"Should be compatible with Drupal 9."
tensorflow;"Drupal 9 supported."
moderation_state_columns;"8.x-1.x-dev is Drupal 9 compatible."
bitfinex;"This module is made for Drupal 9."
taxonomy_term_machine_name;"Developed on Drupal 9.2.x."
viewportchecker;"8.x-1.4+ is Drupal 9 compatible."
unlock;"No known deprecations to address."
gsso;"This module is already fully compatible with Drupal 9!"
php_runtime_memory;"Drupal 9 compatibility"
social_hub;"The 2.x branch will be compatible"
advance_field_attributes;"This module also works with D9"
thumbor_effects;"8.x-1.5+ is Drupal 9 compatible."
while;https://www.drupal.org/project/while/issues/3237443
private_dns;"This module is written on Drupal 9"
views_mark_current;"Already compatible with Drupal 9!"
cron_timing;"<a href=""https://www.drupal.org/project/cron_timing/releases/1.0.0"">1.0.0</a> is Drupal 9 compatible."
commerce_giftcard;"Drupal 9 compatible"
performance_budget;"This module supports Drupal 9. Work completed in [#3106206] and [#3071680]"
l10n_tools;"This module works with Drupal 9 :)"
helloworld_rest;[#3082519]
token_in_config;"This module is ready for Drupal 9"
colorbox_entity_display;"This module is compatible with both Drupal 8 and 9."
rollback;"No known issues with Drupal 9"
smssystem;"Used on several projects but need more review."
taxonomy_move;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/taxonomy_move"">issue queue</a>."
tasks;"This module was built for Drupal 9"
hfcbase;"Support for Drupal 9 and 10 is being maintained on the 1.0.x branch."
account_name;"Drupal 9 compatibility"
google_standout;"Google Standout Tag 8.x-1.x supports Drupal 9. Enjoy."
sound_management;"This module is Drupal 9 compatible"
theme_by_author;"Ready for Drupal 9 :-)"
cjk_tokenizer;"It already works for D9"
group_purl;"This project is ready for Drupal 9!"
graph_mail;"Module developed for Drupal 9 and from PHP 7.3 to PHP 8. Should also work on Drupal 8 without problems."
g2_reviews;"Drupal 9 ready."
g2;"Testable dev version in the 8.x-1.x branch."
gte;"Drupal 9 ready"
ckeditor_csvtable;"This module is Drupal 9 ready."
imagecroper;"This module is fully compatible with Drupal 9!"
campaign_kit;"Can be used on Drupal 9 today but requires some patches for contributed modules that we have submitted to the module maintainers. Once those patches are merged into the modules, CK can be used on Drupal 9 without the extra bother."
serialization_cache;"Drupal 9 is ready"
service_comment_count;"The module is Drupal 9 compatible."
sessionize_embed_block;"The initial public release is fully compatible with Drupal 9."
address_lu;"This module is Drupal 9 ready."
yunke_pay;"Supports Drupal V8 and V9"
tellstick;"Beta2 has been tested with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade Status</a> for Drupal 9."
smart_db_tools;"Compatible with Drupal 9."
change_labels;"Drupal 9 ready"
commerce_bpost;"The module is ready for Drupal 9."
gitinfo;"Tested on Drupal 9 and confirmed to be fully functional."
commerce_custom_shipping_by_weight;"I plan on testing this with Drupal 9 before tagging a 1.0 version."
commerce_store_gateways;"Drupal 9 compatible."
substr_formatter;"None required."
bootstrap_extras;"This is a Drupal 9 Native module"
filefield_to_mediafield;"Drupal 9 compatible and tested."
personified;"This module is Drupal 9 compatible."
projects_browser;"This project supports Drupal 9"
lwm;"* Fully compatible with Drupal 9"
county;"This module is compatible with Drupal 9."
exposed_filter_data;"<h3>Drupal 8/9</h3> Development is currently under way for the Drupal 8/9 port that will provide similar functionality as the Drupal 7 module. However, rather than a PHP function, the Drupal 8/9 version will provide a block that can be placed anywhere, including the header of a view. You can follow along with the development, ask questions, or contribute in <a href=""https://www.drupal.org/project/issues/exposed_filter_data?text=&status=All&priorities=All&categories=All&version=8.x&component=All"">the issue queue</a>."
external_link_change;"External link change 8.x-1.x-dev supports Drupal 9. Enjoy."
moderation_state_sync;"8.x-1.x is Drupal 9 compatible."
editor_images_ext;"This module is ready for Drupal 9."
product_taxonomy_term_name_depth;"Drupal 9 is here"
jsnlog;"Version 1.1 is tested against Drupal 9.1."
uc_payumoney;"It depended on <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> so we will wait till <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> release for Drupal 9"
file_details;"D9 Compatible"
drop_in_image_slideshow;"New release 8.x-1.2 to support Drupal 9.X version"
oauth2_rs;"Drupal 9 porting issue #3196096"
bg_video_autoplayer;"Fully supported."
devel_snippet;"Compatible with Drupal 9"
norwegian_id;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091443]"
webform_mattermost;"Compatible with Drupal 9."
vartheme_material_admin;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_material_admin?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
bim_gdpr;"bim-GDPR supports Drupal 9"
varbase_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Not ready yet for Drupal 9.</a></strong>"
veracruz_content;"If realistic_dummy_content create a drupal 9 version. We will get a port to this module."
drip_webform_handler;"D9 ready!"
linkit_entity_browser;"This module is Drupal 9 compatible"
usajobs;"This module is ready for Drupal 9."
next_views_entity_reference;"Works with Drupal 9"
description_list_field;"Ready for Drupal 9."
link_augment;"This module was built in Drupal 9. Please open an issue if you encounter any problems with Drupal 8 compatibility."
drupalorg_links;"Fully supported as of v8.x-1.1."
fake_path_alias;"Drupal 9 compatible"
adminrss;"Version 8.x-1.0 is compatible with Drupal 9.0"
authman_github;"Compatible with Drupal 8 / 9"
authman;"Fully compatible with Drupal 8 and 9"
auth_entity_access;"Fully supported as of 8.x-1.0-beta2."
content_remote_options;"Compatible with D9"
entity_collector_downloader;"8.x-1.0-alpha13+ is Drupal 9 compatible."
content_packager;"Drupal 9 is fully supported."
views_numeric_range_filter;"Compatible with Drupal 9"
virustotal;"Module versions from <strong>8.x-1.2+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.1</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong> <strong>Releases:</strong> https://www.drupal.org/project/virustotal/releases"
media_fotoweb;"The module is Drupal 9 compatible."
epositivity;"This module is compatible with D9 https://www.drupal.org/project/epositivity/issues/3152171"
entity_taxonomy;"Drupal 9 also support this module"
revue;"Revue >= 8.x-1.1 is Drupal 9 compatible."
bulk_invite;"This module is Drupal 9 ready: [#3070762]"
entity_recycle;"This module is Drupal 9 ready."
confq_cfp;"Drupal 9 compatible."
config_pages_overrides;"Currently up to date for Drupal 9"
email_octopus;"Supports Drupal 9, Enjoy!"
cookies_services;"Drupal 9 is supported."
browser_refresh;"This project is ready for Drupal 9"
vspfo;"This module is ready for Drupal 9."
wordscramble;"This module works with D9."
views_exposed_groups;"Help port this project to Drupal 8.8 or greater at [#3154672]"
svg_select;"Fully compatible with Drupal 9."
autoupdate;"This module is Drupal 9 ready."
ckeditor_dynamic_link;"CKEditor Dynamic Link supports Drupal 9"
api_response_check;"8.x-1.0 is Drupal 9 compatible."
vbo_add_to_wishlist;"Currently, it is in active development phase. it will be available very soon for D9."
arrival_message;"Drupal 9 compatible."
change_field_type;"Compatible with D9"
all_entity_preview;"Compatible with Drupal 9."
all;"This module was written for Drupal 9 and is also compatible with Drupal 8."
webform_gmap_field;"Drupal9 compatible"
asana;"This module is ready for Drupal 9."
bible_companion;"This module is working fully in Drupal 9"
video_embed_vidme;"Video Embed Vidme 8.x-1.1+ supports Drupal 9. Enjoy."
vertical_image_scrolling;"New release 8.x-1.2 to support Drupal 9.X version"
webapps;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webapps?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
webadmin;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webadmin?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
synvisio;"Drupal 9 version of SynVisio module not planned yet."
watwat;"Release branch 2.x can be used for Drupal 9."
bankid_oidc;"Built to support Drupal 8 and Drupal 9"
checklist_security;"This module is ready for D9"
auto_config_form;"Designed for D9+."
back_office_access_restriction;"This module is ready for Drupal 9."
accessibility_filter;"Drupal 9 compatible"
webdev;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webdev?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
taxonomy_preferences;"This module is already fully compatible with Drupal 9"
authman_google;"Compatible with Drupal 8 / 9"
api_redoc_document;"Ported to D9"
bee_hotel;"BEE_HOTEL runs fine on Drupal 9"
city_weather_field;"This module will support Drupal 9."
symfony_validator_translator;"This project will be ported to Drupal 9 soon."
authman_microsoft;"Compatible with Drupal 8 / 9"
youtrack;"This project is ready for Drupal 9"
vright;"Fully ported to Drupal 9"
zotero_citeproc_js;"Developed for 9. Should work on ^8.8, too."
authman_twitch;"Compatible with Drupal 8 / 9"
api_docs;"Will be ported soon"
chat_nodejs;"This module is ready for Drupal 9."
tmgmt_content_moderation;"Is Drupal 9 compatible"
browser_development;"Works with Drupal 8 and 9"
admin_user_path;"This module is compatible with Drupal 9."
uber_publisher_indepth;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_indepth?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
uber_publisher_opinion_articles;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_opinion_articles?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
uber_publisher_social_post;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_social_post?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
uber_publisher_daily_cartoons;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/uber_publisher_daily_cartoons?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
uc_edit_order_attributes;"No current plan, but we just got this one done!"
tidy_html;"This module is ready for Drupal 9!"
cakephpass;"Compatible since 8.x-1.2 release"
tinglejs;"This Module is Drupal 8 / 9 compatible."
timezone_calculator;"This module is Drupal9 Compatible."
brickset_connect;"Branch 2.0.x should be D9 compatible."
trackmyadmin;"This Module is Compatible with Drupal 9"
xatkit;"Drupal 9 compatible."
bulma_components;"Bulma Components is compatible with Drupal 9."
token_tags;"1.0.0 is Drupal 9 compatible."
tota11y;"Branch 3.0.0 is Drupal 9 ready!"
bui_to_webp;"Compatible with Drupal 9"
twbstools;"Version 9 compatible."
tmgmt_plunet;"Drupal 9 compatible."
tmgmt_yandex_api;"Drupal 9 ready"
tribute_cards;"This module works with Drupal 9."
tns_gallup;"This module is ready for Drupal 9."
testpro;"Will support in Drupal 9 as well"
aframe_extra;"D9 ready - But aframe main module (dependency) is not ready!"
text_attributes;"The module is compatible with Drupal 9."
user_guide;"This project is not a module, and does not need to be ported to Drupal 9."
webform_sf_demanager;"Compatible since alpha2."
varbase_youtube_import;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_youtube_import?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
varbase_commerce;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_commerce?issue_tags=Drupal+9+compatibility"">Not ready yet for Drupal 9.</a></strong>"
bisnode;"Fully supported: [#3138097]"
termef;"Drupal9 is fully supported"
blinknet;"Fully supported in the 2.x releases."
ukstyle;Ready
thumbor_effects_crop;"8.x-1.0+ is Drupal 9 compatible."
advance_script_manager;"This is completely supported in Drupal9"
activenet;"Drupal 9 out of the box ( has Drupal 8 support )"
ui_patterns_blocks;"D9 compatible."
webpage;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webpage?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
theme_selector;"This project is Drupal 9 ready."
webtest;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/webtest?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
untranslated_404;"This module is D9 ready"
bulk_update_title_node;"This module supports Drupal 9."
media_placeholder;"Compatible with Drupal 9!"
entity_sync;"We have not reviewed the code with Drupal 9 in mind yet, however, the module is fully written in modern OOP PHP and we don't expect major issues. Follow and contribute to the <a href=""https://www.drupal.org/project/entity_sync/issues/3161127"">Drupal 9 compatibility</a> issue."
migrate_emsplatform;"Fully supported."
microformats;"Fully compatible with Drupal 9 in the 2.0 branch."
message_integration;"Will be built to work with D9"
entity_copy_reference;"This Project is being worked towards Drupal 9 readiness"
metals_api;"The version 9.x release of the Metals API module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
extended_container;"This project will be ported to Drupal 9 soon."
lrn;"This project is only developped/tested for Drupal 9."
loki;"All versions of this module are fully Drupal 9 compatible."
extlog;"This module <a href=""https://www.drupal.org/project/extlog/releases/8.x-1.4"">8.x-1.4</a> release is already fully compatible with Drupal 9!"
login_gauth;"Will Be released before August"
login_time_restriction;"Login Time Restriction is compatible with Drupal 9"
essential_node_protection;"Ready for Drupal 9"
eway_commerce2;"This module works with Drupal 9 and Commerce2 out-of-the-box."
eventbrite_events;"This project is compatible with Drupal 9."
mapbox;"<h3>Drupal 8 & 9</h3> Drupal 8 and 9 version of this module is not what it was for Drupal 7. The latest release serves as a base module for upcoming Mapbox modules."
eventer;"Working, It may require a clear cache."
ezcontent_publish;"This module is Drupal9 ready."
drush_blackfire;"I'm committed to supporting this with Drupal 9. There is no ""Drupal"" code in this module so it mostly needs to be tested and requirements updated so it runs in Drush 10."
node_visibility;"It should work on Drupal 9, but I haven't tested."
drutopia_findit_search;"Fully compatible with Drupal 9."
drush_tools;"Will be ported when needed."
og_nonmember_editor;"Fully compatible as of 8.x-1.0-rc4."
onehub;"Drupal 9 is fully supported since version 8.x-1.0-beta1."
official_docs;"The 9.0.x branch is up-to-date for Drupal 9+"
oai_pmh_harvester;"Works on D9."
modifiers_vanta;"This module is Drupal 9 compatible."
multi_render_formatter;"D9 ready"
mpbx;"<em><strong>Available for Drupal 9!</strong></em>"
mpr;"Multi Peer Review has not been tested on Drupal 9 at the time of writing."
mulpo;"Branch 2.0.x is compatible with Drupal 9"
ez_drupalsettings;"I believe it works with Drupal 9 but may need some syntactical clean-up."
image_moderate;"Dev.-Version from June 8th 2020  and later are Drupal 9 compatible!"
image_canvas_editor_api;"This module has no known issues with Drupal 9."
frshcrm;"Drupal 9"
forum_field;"Works, build with Drupal 9."
interface_views_sort;"Drupal9 is here"
imotilux;[#3147806]
gophish;"Porting this project to Drupal 9 is currently on the roadmap."
google_trace;"This module is fully compatible with drupal 9"
groupexpro;"It's here"
grn;"Not relevant, since it is not a Drupal module. It is compatible with Drush 8 and 10."
graphql_extras;"Is Drupal 9 compatible."
gsuite;"Built with D9 in mind!"
georef_ar;"Drupal 9 compatible!"
id4me;"This module is Drupal 9 ready."
git_version;"Compatible with Drupal 8 and 9"
fieldable_panels_panes;"Will be supported in the 1.0.x as a migration path to core blocks."
layout_settings;"The 2.x version is Drupal 9 compatible"
field_group_eu_cookie_compliance;"Drupal 9 ready"
lineheight_ckeditor;"this module is compatible with drupal 8 and 9"
